industry,country,sub_category,query_text_used,query_language,recent_avg,trailing_avg,wow_change_pct,threshold_pct,meets_volume_floor,flagged
bath_personal_care,DK,bath_salts,badesalt,da,14.29,0,999,30,True,True
beauty_makeup,DK,eyeshadow_palette,øjenskygge palette,da,14.29,0,999,40,True,True
fashion_women,DK,summer_sandals,sommersandaler,da,14.29,0,999,40,True,True
fitness_apparel,DK,compression_tights,kompressionstights,da,14.29,0,999,35,True,True
footwear_casual,DK,platform_sneakers,platform sneakers,da,1,0,999,35,False,False
jewelry_accessories,DK,leather_wallet,læderpung,da,14.29,0,999,35,True,True
pet_supplies,DK,chew_toys,tyggelegetøj,da,14.29,0,999,30,True,True
tech_accessories,DK,mechanical_keyboard,mekanisk tastatur,da,14.29,0,999,35,True,True
tech_accessories,DK,screen_protector,skærmbeskytter,da,37.43,0,999,35,True,True
jewelry_accessories,DK,signet_ring,signetring,da,14.29,2.79,412.8,35,True,True
travel_luggage,DK,travel_pillow,rejsepude,da,14.29,2.86,400.0,30,True,True
footwear_casual,DK,trail_runners,trail løbesko,da,41.86,8.82,374.5,35,True,True
bath_personal_care,DK,body_scrub,body scrub,da,8.14,1.82,347.1,30,True,True
food_beverage_specialty,DK,natural_wine,naturvin,da,58.57,13.36,338.5,30,True,True
lingerie_intimates,DK,sports_bra,sports bh,da,37.86,9,320.6,35,True,True
fitness_apparel,DK,sports_bra,sports bh,da,37.57,9,317.5,35,True,True
beauty_makeup,DK,contour_stick,contour stick,da,3.43,0.82,317.4,40,False,False
bikes_cycling,DK,bike_lights,cykellygter,da,68.71,16.79,309.4,25,True,True
bikes_cycling,DK,bike_lock,cykellås,da,46,11.43,302.5,25,True,True
fashion_women,DK,midi_skirt,midi nederdel,da,72.71,18.18,300.0,40,True,True
furniture_indoor,DK,storage_bench,opbevaringsbænk,da,2.29,0.57,300.0,30,False,False
home_decor,DK,bedding_set,sengetøj sæt,da,22.29,5.61,297.5,30,True,True
travel_luggage,DK,travel_adapter,rejseadapter,da,6.29,1.61,291.1,30,True,True
wellness_supplements,DK,ashwagandha,ashwagandha,da,20.86,5.39,286.8,35,True,True
lingerie_intimates,DK,bralette,bralette,da,64.14,16.82,281.3,35,True,True
automotive_accessories,DK,phone_mount,mobilholder bil,da,68.43,18.36,272.8,30,True,True
automotive_accessories,DK,dash_cam,dashcam,da,39,10.61,267.7,30,True,True
diy_tools,DK,work_gloves,arbejdshandsker,da,63.43,17.25,267.7,30,True,True
beauty_skincare,DK,eye_cream,øjencreme,da,19.71,5.46,260.8,35,True,True
beauty_skincare,DK,retinol_cream,retinol creme,da,49.86,13.96,257.0,35,True,True
travel_luggage,DK,carry_on_suitcase,håndbagage kuffert,da,61.86,17.36,256.4,30,True,True
pet_supplies,DK,leash,hundesnor,da,53.43,15,256.2,30,True,True
