industry,country,sub_category,query_en,query_da,recent_avg,trailing_avg,wow_change_pct,threshold_pct,meets_volume_floor,meets_baseline_floor,flagged
automotive_accessories,DK,car_vacuum,bilstøvsuger,,1.57,0.14,1000.0,30,False,False,False
fashion_women,DK,summer_sandals,sommersandaler,,14.29,0,999,40,True,False,False
footwear_casual,DK,platform_sneakers,platform sneakers,,1,0,999,35,False,False,False
hair_care,DK,curl_cream,krølle creme,,14.29,0,999,35,True,False,False
lighting,DK,smart_bulb,smart pære,,14.29,0,999,30,True,False,False
pet_supplies,DK,chew_toys,tyggelegetøj,,14.29,0,999,30,True,False,False
pet_supplies,DK,food_bowl,foderskål,,14.29,0,999,30,True,False,False
tech_accessories,DK,mechanical_keyboard,mekanisk tastatur,,0.57,0,999,35,False,False,False
tech_accessories,DK,screen_protector,skærmbeskytter,,27.29,0,999,35,True,False,False
fashion_women,DK,linen_dress,hørkjole,,51.43,7.36,599.0,40,True,False,False
food_beverage_specialty,DK,natural_wine,naturvin,,59.29,13.46,340.3,30,True,True,True
fitness_apparel,DK,yoga_pants,yogabukser,,14.29,3.32,330.1,35,True,False,False
home_decor,DK,bedding_set,sengetøj sæt,,1.43,0.36,300.0,30,False,False,False
kids_baby,DK,kids_toys,børnelegetøj,,1,0.25,300.0,30,False,False,False
travel_luggage,DK,travel_adapter,rejseadapter,,38.14,9.93,284.2,30,True,True,True
lingerie_intimates,DK,bralette,bralette,,59.57,15.86,275.7,35,True,True,True
bath_personal_care,DK,body_scrub,body scrub,,11.29,3.07,267.4,30,True,False,False
travel_luggage,DK,travel_backpack,rejserygsæk,,23,6.36,261.8,30,True,False,False
bikes_cycling,DK,bike_lights,cykellygter,,59.14,16.82,251.6,25,True,True,True
bikes_cycling,DK,cycling_jersey,cykeltrøje,,14.43,4.11,251.3,25,True,False,False
pet_supplies,DK,leash,hundesnor,,63.43,18.07,251.0,30,True,True,True
sports_fitness,DK,weighted_vest,vægtvest,,51.71,14.89,247.2,35,True,True,True
beauty_makeup,DK,lip_oil,lip oil,,10.29,3,242.9,40,True,False,False
outdoor_recreation,DK,campsite_chair,campingstol,,34.29,10.04,241.6,25,True,True,True
kitchen_dining,DK,cast_iron_pan,støbejernspande,,56.57,16.89,234.9,30,True,True,True
pet_supplies,DK,dog_bed,hundeseng,,62.14,18.64,233.3,30,True,True,True
beauty_skincare,DK,exfoliant,peeling,,33.29,10.11,229.3,35,True,True,True
bikes_cycling,DK,bike_pannier,cykeltaske,,19.86,6.04,229.0,25,True,False,False
home_decor,DK,wall_art,vægkunst,,23.29,7.11,227.6,30,True,False,False
wellness_supplements,DK,ashwagandha,ashwagandha,,21.29,6.57,223.9,35,True,False,False
beauty_makeup,DK,highlighter,highlighter,,25.43,7.86,223.6,40,True,False,False
travel_luggage,DK,carry_on_suitcase,håndbagage kuffert,,49.29,15.36,220.9,30,True,True,True
automotive_accessories,DK,dash_cam,dashcam,,29.43,9.21,219.4,30,True,True,True
beauty_skincare,DK,hyaluronic_acid,hyaluronsyre,,11.43,3.64,213.7,35,True,False,False
outdoor_recreation,DK,trekking_poles,vandrestave,,74.43,24.18,207.8,25,True,True,True
diy_tools,DK,measuring_tape,målebånd,,67.71,22.5,201.0,30,True,True,True
fashion_women,DK,midi_skirt,midi nederdel,,40.43,13.46,200.3,40,True,True,True
kids_baby,DK,baby_monitor,babyalarm,,30.29,10.11,199.6,30,True,True,True
automotive_accessories,DK,phone_mount,mobilholder bil,,68.14,23,196.3,30,True,True,True
pet_supplies,DK,litter_box,kattebakke,,19.57,6.68,193.0,30,True,False,False
footwear_casual,DK,white_sneakers,hvide sneakers,,15.29,5.29,189.2,35,True,False,False
jewelry_accessories,DK,pearl_necklace,perlekæde,,56.57,19.64,188.0,35,True,True,True
tech_accessories,DK,phone_case,mobilcover,,14.14,4.96,184.9,35,True,False,False
food_beverage_specialty,DK,hot_sauce,hot sauce,,68.71,24.14,184.6,30,True,True,True
garden_outdoor,DK,outdoor_rug,udendørs tæppe,,25,8.79,184.6,25,True,True,True
diy_tools,DK,screwdriver_set,skruetrækkersæt,,52.86,18.61,184.1,30,True,True,True
automotive_accessories,DK,ev_charger,elbil oplader,,9,3.18,183.1,30,False,False,False
fitness_apparel,DK,sports_bra,sports bh,,41.57,14.71,182.5,35,True,True,True
lingerie_intimates,DK,sports_bra,sports bh,,41.57,14.71,182.5,35,True,True,True
pet_supplies,DK,pet_harness,hundesele,,15.29,5.46,179.7,30,True,False,False
toys_games,DK,doll_house,dukkehus,,27.71,9.93,179.1,30,True,True,True
wellness_supplements,DK,massage_gun,massagepistol,,61.86,22.21,178.5,35,True,True,True
travel_luggage,DK,hardside_luggage,hardcase kuffert,,38.71,14,176.5,30,True,True,True
kitchen_dining,DK,kitchen_scale,køkkenvægt,,58.14,21.43,171.3,30,True,True,True
lighting,DK,outdoor_solar_lights,solcellelamper,,16.86,6.21,171.3,30,True,False,False
fashion_men,DK,oxford_shirt,oxford skjorte,,51.71,19.11,170.7,35,True,True,True
outdoor_recreation,DK,headlamp,pandelampe,,55.29,20.64,167.8,25,True,True,True
beauty_skincare,DK,retinol_cream,retinol creme,,44.57,16.71,166.7,35,True,True,True
